# repl,id,time
0,"1",0
0,"1",2
0,"1",4
0,"1",6
0,"1",8
0,"1",10
0,"1",12
0,"2",0
0,"2",2
0,"2",4
0,"2",6
0,"2",8
0,"2",10
0,"2",12
0,"3",0
0,"3",2
0,"3",4
0,"3",6
0,"3",8
0,"3",10
0,"3",12
0,"4",0
0,"4",2
0,"4",4
0,"4",6
0,"4",8
0,"4",10
0,"4",12
0,"5",0
0,"5",2
0,"5",4
0,"5",6
0,"5",8
0,"5",10
0,"5",12
0,"6",0
0,"6",2
0,"6",4
0,"6",6
0,"6",8
0,"6",10
0,"6",12
0,"7",0
0,"7",2
0,"7",4
0,"7",6
0,"7",8
0,"7",10
0,"7",12
0,"8",0
0,"8",2
0,"8",4
0,"8",6
0,"8",8
0,"8",10
0,"8",12
0,"9",0
0,"9",2
0,"9",4
0,"9",6
0,"9",8
0,"9",10
0,"9",12
0,"10",0
0,"10",2
0,"10",4
0,"10",6
0,"10",8
0,"10",10
0,"10",12
0,"11",0
0,"11",2
0,"11",4
0,"11",6
0,"11",8
0,"11",10
0,"11",12
0,"12",0
0,"12",2
0,"12",4
0,"12",6
0,"12",8
0,"12",10
0,"12",12
0,"13",0
0,"13",2
0,"13",4
0,"13",6
0,"13",8
0,"13",10
0,"13",12
0,"14",0
0,"14",2
0,"14",4
0,"14",6
0,"14",8
0,"14",10
0,"14",12
0,"15",0
0,"15",2
0,"15",4
0,"15",6
0,"15",8
0,"15",10
0,"15",12
0,"16",0
0,"16",2
0,"16",4
0,"16",6
0,"16",8
0,"16",10
0,"16",12
0,"17",0
0,"17",2
0,"17",4
0,"17",6
0,"17",8
0,"17",10
0,"17",12
0,"18",0
0,"18",2
0,"18",4
0,"18",6
0,"18",8
0,"18",10
0,"18",12
0,"19",0
0,"19",2
0,"19",4
0,"19",6
0,"19",8
0,"19",10
0,"19",12
0,"20",0
0,"20",2
0,"20",4
0,"20",6
0,"20",8
0,"20",10
0,"20",12
0,"21",0
0,"21",2
0,"21",4
0,"21",6
0,"21",8
0,"21",10
0,"21",12
0,"22",0
0,"22",2
0,"22",4
0,"22",6
0,"22",8
0,"22",10
0,"22",12
0,"23",0
0,"23",2
0,"23",4
0,"23",6
0,"23",8
0,"23",10
0,"23",12
0,"24",0
0,"24",2
0,"24",4
0,"24",6
0,"24",8
0,"24",10
0,"24",12
